title,user,user_type,review,publish_date,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,cities,len_cities,sum_ratings,count_ratings,avg_rating,title_blob,review_blob,review_tokens,title_tokens,review_sent
24 hour delay which was not acceptable,Tony Harris,TripVerified,"  Flight from Sydney to Montreal cancelled on 05 February, automatically rebooked on the next day flight. A 24 hour delay which was not acceptable to me - only seat available on the 06 February flight from Sydney to Toronto and then Vancouver and Smithers was business class when I went online to book .. so I paid $3,900 for a flight which is normally less than a $1,000 eco and $2,000 business but I needed to be in Smithers on 06 February. I arrived in Toronto 15 min late with a 45 min connection I received a text message saying I had been rebooked to the 15:20 flight meaning I then had an 18 hour stopover in Vancouver and arrived in Smithers on 07 February. I go to the gate of my original flight and people still boarding .. they say I have been rebooked as my baggage would not make it and nothing they could do I needed to go back to the service desk - on the way back to the service desk I get a text message saying my original flight was going to be leaving 20 min late, so back to the original 45 min on which the ticket was sold - service desks gets me a seat on the 9am from Toronto to Vancouver in economy as no business seats. Flight from Toronto to Vancouver is now 60 min late due to late servicing of the plane and we are all boarded and sat waiting.",6th February 2022,Business,Economy Class,Toronto to Vancouver,February 2022,1,1,0,0,1,0,1,"['Toronto', 'Vancouver']",2,4.0,4,1.0,0.0,0.002222222222222222,"['montreal', 'cancelled', 'february', 'automatically', 'rebooked', 'day', 'hour', 'delay', 'acceptable', 'seat', 'available', 'february', 'smithers', 'business', 'class', 'online', 'book', 'paid', 'normally', 'less', 'eco', 'business', 'needed', 'smithers', 'february', 'arrived', 'min', 'late', 'min', 'connection', 'received', 'text', 'message', 'saying', 'rebooked', 'meaning', 'hour', 'stopover', 'arrived', 'smithers', 'february', 'gate', 'original', 'people', 'still', 'boarding', 'rebooked', 'baggage', 'make', 'nothing', 'needed', 'back', 'service', 'desk', 'way', 'back', 'service', 'desk', 'text', 'message', 'saying', 'original', 'going', 'leaving', 'min', 'late', 'back', 'original', 'min', 'ticket', 'sold', 'service', 'desks', 'gets', 'seat', 'economy', 'business', 'seats', 'min', 'late', 'due', 'late', 'servicing', 'plane', 'boarded', 'sat', 'waiting']","['hour', 'delay', 'acceptable']",pos
Worst airline ever,S Deane,TripVerified,"  Air Canada’s website booked me with another airline’s flight to connect to their airline’s flight. The flight prior to my Air Canada flight was canceled for holiday, so I got into contact with that airline and they said since I booked through Air Canada, they would not be able to resolve the issue. I talked to Air Canada (via messenger because no one answered the phone) and was told it was the responsibility of the other airline to get me to my final destination, even though I was booked through Air Canada. There are no human customer service representatives at Narita Airport today, on top of that. At this point I cannot even get a refund on a $1000 ticket. Worst airline ever, I will not make this mistake again.",3rd February 2022,Solo Leisure,Economy Class,Tokyo to Seattle via Seoul / Vancouver,February 2022,0,0,0,0,0,0,1,"['Tokyo', 'Seattle', 'Seoul', 'Vancouver']",4,1.0,1,1.0,-1.0,-0.017857142857142856,"['website', 'booked', 'another', 'airline', 'connect', 'airline', 'prior', 'canceled', 'holiday', 'contact', 'airline', 'since', 'booked', 'able', 'resolve', 'issue', 'talked', 'via', 'messenger', 'answered', 'phone', 'told', 'responsibility', 'airline', 'final', 'destination', 'though', 'booked', 'human', 'customer', 'service', 'representatives', 'narita', 'airport', 'today', 'top', 'point', 'refund', 'ticket', 'worst', 'airline', 'ever', 'make', 'mistake']","['worst', 'airline', 'ever']",neg
the staff had no power to act,Collins Mazraani,TripVerified,"  I had booked business class for my mother and for me I had booked economy. I wanted to upgrade my reservation for business. With the covid it was necessary to pass a test before leaving 48 hours before departure. While the possibility of raising the category of the seat was open up to 48 hours before departure. So I had the trouble of doing this upgrade, because the possibility was closed on the website, at the airport in Beirut, with my agency in Montreal, etc. I arrive on the gate at London airport after a stopover. they tell me that now it's too late to do the enhancement. The seats in the business section were almost empty and the staff had no power to act, all they tell you is company policy. I asked to pay for the upgrade, or to accommodate myself with an upgrade because my mother is an elderly person and she does not speak the language. They said they will take good care of my mother, something they did well but my mother did not feel comfortable because of the language barrier and they did not want to disturb the business section while during the 7.5 hour flight I was able to go see my mother 4 times only for 1 min only, so as not to disturb. I find that Air Canada does not give any power to act to its employees and it should have put a travel manager who listens to passengers and that we have the tools so that they can do the impossible to satisfy its clientele.  J'avais réservé business class pour ma mère et pour moi j'avais réservé économie. je voulais rehaussé ma réservation pour business. Avec le covid il fallait passé un test avant de partir 48 heure avant le départ. Alors que la possibilité de rehaussé la catégorie du siège était ouvert jusqu'à 48 heure avant le départ. Alors j'ai eu la misère de faire ce rehaussement, car la possibilité était fermé sur le site web, à l'aéroport de beirut, avec mon agence de Montréal etc. j'arrive sur le gate à l'aéroport de londre après un escale. ils me disent que maintenant c'est trop tard de faire le rehaussement.  Les sièges de la section business était presque vide et le personnel n'ont aucun pouvoir d'agir. tout ce qu'il te disent que c'est la politique de la cie. j'ai demandé de payer le rehaussement, ou de m'accomoder avec un rehaussement car ma mère est une personne âgée et elle ne maîtrise pas la langue. ils ont fit qu'ils vont bien s'occuper de ma mère, une chose qu'ils ont bien fait mais ma mère ne se sentait pas confortables à cause de la barrière langue et ils ne voulait pas déranger la section business alors que pendant le vol de 7.5 heure j'ai pu aller voir ma mère 4 fois seulement pendant 1 min seulement, pour ne pas déranger. je trouve que air Canada ne donne aucun pouvoir d'agir à ses employés et il aurait dû mettre un chef de voyage qui soit à l'écoute des passagers et qu'on l'outil pour qu'il puissent faire l'impossible pour satisfaite sa clientèle.",27th January 2022,Family Leisure,Economy Class,London to Montreal ,January 2022,2,3,1,2,1,4,2,['London'],1,15.0,7,2.142857142857143,0.0,-0.0023809523809523803,"['booked', 'business', 'class', 'mother', 'booked', 'economy', 'wanted', 'upgrade', 'reservation', 'business', 'covid', 'necessary', 'pass', 'test', 'leaving', 'hours', 'departure', 'possibility', 'raising', 'category', 'seat', 'open', 'hours', 'departure', 'trouble', 'upgrade', 'possibility', 'closed', 'website', 'airport', 'agency', 'montreal', 'etc', 'arrive', 'gate', 'airport', 'stopover', 'tell', 'late', 'enhancement', 'seats', 'business', 'section', 'almost', 'empty', 'staff', 'power', 'act', 'tell', 'company', 'policy', 'asked', 'pay', 'upgrade', 'accommodate', 'upgrade', 'mother', 'elderly', 'person', 'speak', 'language', 'take', 'good', 'care', 'mother', 'something', 'well', 'mother', 'feel', 'comfortable', 'language', 'barrier', 'want', 'disturb', 'business', 'section', 'hour', 'able', 'see', 'mother', 'times', 'min', 'disturb', 'find', 'give', 'power', 'act', 'employees', 'put', 'travel', 'manager', 'listens', 'passengers', 'tools', 'impossible', 'satisfy', 'clientele', 'réservé', 'business', 'class', 'pour', 'mère', 'et', 'pour', 'moi', 'réservé', 'économie', 'je', 'voulais', 'rehaussé', 'réservation', 'pour', 'business', 'avec', 'le', 'covid', 'il', 'fallait', 'passé', 'un', 'test', 'avant', 'de', 'partir', 'heure', 'avant', 'le', 'départ', 'alors', 'que', 'la', 'possibilité', 'de', 'rehaussé', 'la', 'catégorie', 'du', 'siège', 'était', 'ouvert', 'jusqu', 'à', 'heure', 'avant', 'le', 'départ', 'alors', 'eu', 'la', 'misère', 'de', 'faire', 'ce', 'rehaussement', 'car', 'la', 'possibilité', 'était', 'fermé', 'sur', 'le', 'site', 'web', 'à', 'de', 'avec', 'mon', 'agence', 'de', 'etc', 'sur', 'le', 'gate', 'à', 'de', 'londre', 'après', 'un', 'escale', 'ils', 'disent', 'que', 'maintenant', 'trop', 'tard', 'de', 'faire', 'le', 'rehaussement', 'les', 'sièges', 'de', 'la', 'section', 'business', 'était', 'presque', 'vide', 'et', 'le', 'personnel', 'aucun', 'pouvoir', 'tout', 'ce', 'te', 'disent', 'que', 'la', 'politique', 'de', 'la', 'demandé', 'de', 'payer', 'le', 'rehaussement', 'ou', 'de', 'avec', 'un', 'rehaussement', 'car', 'mère', 'est', 'une', 'personne', 'âgée', 'et', 'elle', 'ne', 'maîtrise', 'pas', 'la', 'langue', 'ils', 'ont', 'fit', 'vont', 'bien', 'de', 'mère', 'une', 'chose', 'ont', 'bien', 'fait', 'mais', 'mère', 'ne', 'se', 'sentait', 'pas', 'confortables', 'à', 'cause', 'de', 'la', 'barrière', 'langue', 'et', 'ils', 'ne', 'voulait', 'pas', 'déranger', 'la', 'section', 'business', 'alors', 'que', 'pendant', 'le', 'vol', 'de', 'heure', 'pu', 'aller', 'voir', 'mère', 'fois', 'seulement', 'pendant', 'min', 'seulement', 'pour', 'ne', 'pas', 'déranger', 'je', 'trouve', 'que', 'ne', 'donne', 'aucun', 'pouvoir', 'à', 'ses', 'employés', 'et', 'il', 'aurait', 'dû', 'mettre', 'un', 'chef', 'de', 'voyage', 'qui', 'soit', 'à', 'des', 'passagers', 'et', 'pour', 'puissent', 'faire', 'pour', 'satisfaite', 'sa', 'clientèle']","['staff', 'power', 'act']",neg
Absolutely the worst airline,Shawn Holden,NotVerified," Houston to Prince George. They cancelled my flight from Houston to Prince George over 5 times (I lost count) due to Covid and gave me a travel credit that was emailed back to me. I have tried to redeem the credit. I have called 5 times to ""customer service"", I use that term with hesitation, hung up on 4 times, put back on hold because the travel credit code that they emailed me does not match any records. 45 minutes later, they tell me my flight credits are about to expire and are under another credit code and I have to change those flight credits into a flight voucher but that will take 2 months to get my travel voucher. How does a company in 2022 take 2 Months to give you your flight credits that you paid for? I can return something on my Chase Credit Card and get instant credit but it takes 2 months to transfer credit internally at Air Canada. (The only think I can figure is that this is a technique that the Air Canada uses to take your flight credit or make you wait until the ticket prices go up and charge you more money.) Absolutely the worst airline I have ever dealt with in my life of travel.",25th January 2022,Family Leisure,Economy Class,Houston to Prince George,February 2021,1,1,0,0,1,0,1,"['Houston', 'Prince George']",2,4.0,4,1.0,-0.4,-0.0425,"['prince', 'george', 'cancelled', 'prince', 'george', 'times', 'lost', 'count', 'due', 'covid', 'gave', 'travel', 'credit', 'emailed', 'back', 'tried', 'redeem', 'credit', 'called', 'times', 'customer', 'service', 'use', 'term', 'hesitation', 'hung', 'times', 'put', 'back', 'hold', 'travel', 'credit', 'code', 'emailed', 'match', 'records', 'minutes', 'later', 'tell', 'credits', 'expire', 'another', 'credit', 'code', 'change', 'credits', 'voucher', 'take', 'months', 'travel', 'voucher', 'company', 'take', 'months', 'give', 'credits', 'paid', 'return', 'something', 'chase', 'credit', 'card', 'instant', 'credit', 'takes', 'months', 'transfer', 'credit', 'internally', 'think', 'figure', 'technique', 'uses', 'take', 'credit', 'make', 'wait', 'ticket', 'prices', 'charge', 'money', 'absolutely', 'worst', 'airline', 'ever', 'dealt', 'life', 'travel']","['absolutely', 'worst', 'airline']",neg
I was not reimbursed for charges,G Ragami,TripVerified,  Air Canada cancelled my flights twice so I had to pay additional charges to change my flight for last part of my trip with United twice. I had to stay in airport hotel in Chicago. I was not reimbursed for charges related to cancelled flights by Air Canada and the staff at Chicago airport were very unhelpful when I asked for help regarding the process for refund. I will not fly with Air Canada and do not recommend it.,18th January 2022,Solo Leisure,Economy Class,Saskatoon to Chicago via Toronto ,December 2021,2,2,2,0,1,0,1,"['Saskatoon', 'Chicago', 'Toronto']",3,8.0,5,1.6,0.0,-0.05,"['cancelled', 'twice', 'pay', 'additional', 'charges', 'change', 'last', 'part', 'trip', 'united', 'twice', 'stay', 'airport', 'hotel', 'reimbursed', 'charges', 'related', 'cancelled', 'staff', 'airport', 'unhelpful', 'asked', 'help', 'regarding', 'process', 'refund', 'fly', 'recommend']","['reimbursed', 'charges']",neg
on flight they ran out of meals,G Bardon,TripVerified,"  During a snow storm we sat on plane at gate for 3 hours, then deicing another 1.5 hrs, but this was not their fault. Then for the meal on flight they ran out of meals. Absolutely poor planning as they had 3 hours to figure this out.",18th January 2022,Solo Leisure,Economy Class,Toronto to Vancouver ,January 2022,2,2,1,4,1,1,2,"['Toronto', 'Vancouver']",2,13.0,7,1.8571428571428572,0.0,-0.4,"['snow', 'storm', 'sat', 'plane', 'gate', 'hours', 'deicing', 'another', 'hrs', 'fault', 'meal', 'ran', 'meals', 'absolutely', 'poor', 'planning', 'hours', 'figure']","['ran', 'meals']",neg
the corners they cut in customer service on the plane is ludicrous,H Maresh,TripVerified," The seats were comfy, the staff were nice, the airplane of decent quality, the entertainment system was brilliant and so on. However, where it all goes wrong is the policies of Air Canada. Under no circumstances will they provide you with anything more than a glass of water on your journey. Its a 4 hour journey, how about some chips or crackers?  Want to experience their brilliant entertainment system? Better purchase some headphones at a ridiculous price. Its rather ridiculous when you consider Air Canada maintains prices that are 3 times higher than cheap budget airlines with Flair. - you get marginally better customer service off the plane, and a carry-on, but not much else.  This flight was delayed by an hour.  WiFi is significantly worse than Qatar Airways at a much worse price. ",15th January 2022,Solo Leisure,Economy Class,Montreal to Edmonton,January 2022,4,1,1,1,1,1,1,['Edmonton'],1,10.0,7,1.4285714285714286,0.0,0.17666666666666664,"['seats', 'comfy', 'staff', 'nice', 'airplane', 'decent', 'quality', 'entertainment', 'system', 'brilliant', 'goes', 'wrong', 'policies', 'circumstances', 'provide', 'anything', 'glass', 'water', 'journey', 'hour', 'journey', 'chips', 'crackers', 'want', 'experience', 'brilliant', 'entertainment', 'system', 'better', 'purchase', 'headphones', 'ridiculous', 'price', 'rather', 'ridiculous', 'consider', 'maintains', 'prices', 'times', 'higher', 'cheap', 'budget', 'airlines', 'flair', 'marginally', 'better', 'customer', 'service', 'plane', 'much', 'else', 'delayed', 'hour', 'wifi', 'significantly', 'worse', 'qatar', 'airways', 'much', 'worse', 'price']","['corners', 'cut', 'customer', 'service', 'plane', 'ludicrous']",pos
practically a monopoly,S Jenson,TripVerified," Montreal to Los Angeles. Air Canada always go the extra mile to make your life miserable as a passenger. One example, when I have a 6:30 layover in Montréal while the airport is empty and most businesses closed I am unable to pay for lounge access, I am told you need to book ahead. Of course, I never seen any mentions of that before and no other airline do this kind of thing. I could see their lounge is mostly empty. They absolutely don't care about the passengers. If the company was not practically a monopoly and continually sponsored by my taxes and those of all Canadians, I wouldn't be so angry about it. But the truth is, as a Canadian, you are despised by your national transporter but you have no choice to fly AC and sponsor the airline with your taxes. Oh Canada",9th January 2022,Business,Premium Economy,Montreal to Los Angeles,January 2022,3,4,2,4,1,0,2,['Los Angeles'],1,16.0,6,2.6666666666666665,0.0,-0.011458333333333348,"['montreal', 'los', 'angeles', 'always', 'extra', 'mile', 'make', 'life', 'miserable', 'passenger', 'example', 'layover', 'airport', 'empty', 'businesses', 'closed', 'unable', 'pay', 'lounge', 'access', 'told', 'need', 'book', 'ahead', 'course', 'never', 'seen', 'mentions', 'airline', 'kind', 'thing', 'see', 'lounge', 'mostly', 'empty', 'absolutely', 'care', 'passengers', 'company', 'practically', 'monopoly', 'continually', 'sponsored', 'taxes', 'canadians', 'angry', 'truth', 'canadian', 'despised', 'national', 'transporter', 'choice', 'fly', 'ac', 'sponsor', 'airline', 'taxes', 'oh']","['practically', 'monopoly']",neg
cabin crew was rude to me,A Maladi,TripVerified,"  The flight time was changed at least 3 times before the flight.  On the flight, most of the cabin crew was rude to me, yelling at me for trivial matters (like changing your seat) even though their colleague said it was ok.  If you ask for a snack or a drink on a 14 hour flight, expect a dry and short response.  For me, the flight experience was uncomfortable. Forget about ever reaching them if you try calling customer service internationally. Impossible. If you try calling them from within Canada, expect to wait on the line for 1-2 hours.",8th January 2022,Solo Leisure,Economy Class,Toronto to Doha,December 2021,3,1,1,3,2,0,2,"['Toronto', 'Doha']",2,12.0,6,2.0,-0.3,-0.10416666666666666,"['time', 'changed', 'least', 'times', 'cabin', 'crew', 'rude', 'yelling', 'trivial', 'matters', 'like', 'changing', 'seat', 'though', 'colleague', 'ok', 'ask', 'snack', 'drink', 'hour', 'expect', 'dry', 'short', 'response', 'experience', 'uncomfortable', 'forget', 'ever', 'reaching', 'try', 'calling', 'customer', 'service', 'internationally', 'impossible', 'try', 'calling', 'within', 'expect', 'wait', 'line', 'hours']","['cabin', 'crew', 'rude']",neg
Frustrating to say the least,D Fry,TripVerified,"  Frustrating to say the least, I had to pack my patience. Went to visit my in-laws for the holiday as they are getting older and my mother-in-law really wanted us to visit. My husband and I got the the family together to travel we flew out of Orlando on Christmas day which was reasonable enough I give a pass to the attitude of the staff because it is Christmas day but the horrible part is returning home. We got all of our COVID test done on New Years Eve as we were traveling on New Year's Day, got to the airport in plenty of time(t3 hours ahead) and the incompetence was just mind boggling but we got through and told our bags would be checked all the way through to Orlando as we would pre-clear customs in Montreal and then head to Orlando. Well this is where it went batshit crazy. Our flight out of Vancouver was delayed by an hour we got into Montreal and Air Canada lost one of our bags so we were held up in US immigration because we couldn't clear customs without that one bag (which was mine) of course my family didn't leave me we all were stuck. At the last minute the agent filed a missing bag for to allow us to go through he then called the flight attendant on the plane we were scheduled to leave on and she was so rude and refused to hold the plane for five minutes so my family and I could run the 100m dash to the gate. We got through finally and yes they left us even though it was their fault we missed the connection. Had to trek down to the baggage department with absolutely do direction or help from Air Canada. We finally got back to the departures in Montreal after collecting our remaining bags and a bit of luck we ended up with an agent that was actually concerned and nice for the first time in this whole ordeal. She booked us on a flight in the morning and she arranged to put us up at a near by Marriott and $80 in meal vouchers she was amazing, it gave me hope. Got back to the hotel in Montreal only to get an email that the flight she booked us on in the morning was cancelled and we are now being bumped on to a Delta Flight through Atlanta into Orlando. We never arrived in Orlando until January 3 at midnight. If it hand not being for Air Canada incompetence, the selfish, inconsiderate flight attendant and the laid back agent at customs this could have been avoided. I am back home and still don't have my bag and they are trying to get out it. ",7th January 2022,Family Leisure,Economy Class,Orlando to Vancouver via Montreal,January 2022,1,2,1,2,1,1,1,"['Orlando', 'Vancouver']",2,9.0,7,1.2857142857142858,-0.35,-0.005035200489745946,"['frustrating', 'least', 'pack', 'patience', 'visit', 'holiday', 'getting', 'older', 'really', 'wanted', 'visit', 'husband', 'family', 'together', 'travel', 'flew', 'christmas', 'day', 'reasonable', 'enough', 'give', 'pass', 'attitude', 'staff', 'christmas', 'day', 'horrible', 'part', 'returning', 'home', 'covid', 'test', 'done', 'new', 'years', 'eve', 'traveling', 'new', 'year', 'day', 'airport', 'plenty', 'time', 'hours', 'ahead', 'incompetence', 'mind', 'boggling', 'told', 'bags', 'checked', 'way', 'customs', 'montreal', 'head', 'well', 'batshit', 'crazy', 'delayed', 'hour', 'montreal', 'lost', 'bags', 'held', 'immigration', 'clear', 'customs', 'bag', 'mine', 'course', 'family', 'leave', 'stuck', 'last', 'minute', 'agent', 'filed', 'missing', 'bag', 'allow', 'called', 'attendant', 'plane', 'scheduled', 'leave', 'rude', 'refused', 'hold', 'plane', 'five', 'minutes', 'family', 'run', 'dash', 'gate', 'finally', 'yes', 'left', 'though', 'fault', 'missed', 'connection', 'trek', 'baggage', 'department', 'absolutely', 'direction', 'help', 'finally', 'back', 'departures', 'montreal', 'collecting', 'remaining', 'bags', 'bit', 'luck', 'ended', 'agent', 'actually', 'concerned', 'nice', 'first', 'time', 'whole', 'ordeal', 'booked', 'morning', 'arranged', 'put', 'near', 'marriott', 'meal', 'vouchers', 'amazing', 'gave', 'hope', 'back', 'hotel', 'montreal', 'email', 'booked', 'morning', 'cancelled', 'bumped', 'delta', 'never', 'arrived', 'january', 'midnight', 'hand', 'incompetence', 'selfish', 'inconsiderate', 'attendant', 'laid', 'back', 'agent', 'customs', 'avoided', 'back', 'home', 'still', 'bag', 'trying']","['frustrating', 'least']",neg
baggage was delayed when connecting in Toronto,S Galirez,TripVerified,"  I have rarely had a connecting flight through Toronto Pearson Airport without my baggage being delayed. My flight from Las Vegas to Toronto was delayed twice and, even if I originally had a 3-hour layover to make it to my final flight, I had to run through customs, vaccination checkpoints and through security to make it to my connecting flight. I was told that my baggage was checked all the way to my final destination, but apparently it was not. I barely made it to my gate while the last passengers were boarding and in the end the flight was delayed for 1.5 hours. At my final destination, half of the passengers had to line up at Customer Services because their baggage was delayed when connecting in Toronto. I was told that my baggage would be delivered at my address the following day, but it still has not been delivered. I spent one hour trying to contact a Representative on the phone to know if my baggage was on route (at 9.30pm) or at least if they could give me an idea of when I should expect it. However, when the person finally picked up, they could not tell me if it would be delivered on the following hours or the next morning. From now on I will avoid any connecting flights at Toronto Pearson Airport and, if possible, travelling with Air Canada.",5th January 2022,Solo Leisure,Economy Class,Las Vegas to Montreal via Toronto,January 2022,3,3,2,3,1,1,2,"['Las Vegas', 'Toronto']",2,15.0,7,2.142857142857143,0.0,0.008333333333333342,"['rarely', 'connecting', 'pearson', 'airport', 'baggage', 'delayed', 'las', 'vegas', 'delayed', 'twice', 'originally', 'layover', 'make', 'final', 'run', 'customs', 'vaccination', 'checkpoints', 'security', 'make', 'connecting', 'told', 'baggage', 'checked', 'way', 'final', 'destination', 'apparently', 'barely', 'gate', 'last', 'passengers', 'boarding', 'end', 'delayed', 'hours', 'final', 'destination', 'half', 'passengers', 'line', 'customer', 'services', 'baggage', 'delayed', 'connecting', 'told', 'baggage', 'delivered', 'address', 'following', 'day', 'still', 'delivered', 'spent', 'hour', 'trying', 'contact', 'representative', 'phone', 'know', 'baggage', 'route', 'least', 'give', 'idea', 'expect', 'person', 'finally', 'picked', 'tell', 'delivered', 'following', 'hours', 'morning', 'avoid', 'connecting', 'pearson', 'airport', 'possible', 'travelling']","['baggage', 'delayed', 'connecting']",pos
I have never flown Air Canada and not had a problem,D Edwards,TripVerified," I have never flown Air Canada and not had a problem. Their flights never leave on time, I have never made a connection with them before and getting a new ticket is impossible because their customer service is no good. You would think the biggest airline in the country can afford to hire enough reps so there is not a 3 hour wait to talk to someone. I will never ever ever fly AC again. Also the only airline I’ve ever flown that doesn’t give complimentary drinks or snacks they squeeze every last penny they can. Such a joke. They’ve managed to ruin all my vacations in the last 3 years.",4th January 2022,Solo Leisure,Economy Class,Toronto to Timmins,January 2022,1,2,1,3,1,1,1,"['Toronto', 'Timmins']",2,10.0,7,1.4285714285714286,0.0,0.02196969696969698,"['never', 'flown', 'problem', 'never', 'leave', 'time', 'never', 'connection', 'getting', 'new', 'ticket', 'impossible', 'customer', 'service', 'good', 'think', 'biggest', 'airline', 'country', 'afford', 'hire', 'enough', 'reps', 'hour', 'wait', 'talk', 'someone', 'never', 'ever', 'ever', 'fly', 'ac', 'airline', 'ever', 'flown', 'give', 'complimentary', 'drinks', 'snacks', 'squeeze', 'every', 'last', 'penny', 'joke', 'managed', 'ruin', 'vacations', 'last', 'years']","['never', 'flown', 'problem']",pos
"cancelled, delayed, or changed",M Parker,TripVerified," Toronto to Quebec City. Every flight I purchase using Air Canada, it is either cancelled, delayed, or changed for a much more inconvenient flight. Impossible to receive a refund or rebate as there is a maze of red tape to navigate through in order to retrieve monies lost.",1st January 2022,Solo Leisure,Economy Class,Toronto to Quebec City,December 2021,1,4,1,1,1,1,1,['Toronto'],1,10.0,7,1.4285714285714286,0.0,-0.19166666666666665,"['quebec', 'city', 'every', 'purchase', 'using', 'either', 'cancelled', 'delayed', 'changed', 'much', 'inconvenient', 'impossible', 'receive', 'refund', 'rebate', 'maze', 'red', 'tape', 'navigate', 'order', 'retrieve', 'monies', 'lost']","['cancelled', 'delayed', 'changed']",neg
terrible customer service,E Kean,TripVerified,"  Canceled the flight 30 min after the boarding would have started, no rebooking, basically just said “you’re on your own, call this number and try to rebook your flight on this busy week”. I did manage to get to Vancouver on the next day, and then when I had a return trip they forgot my baggage at Vancouver. The baggage should’ve arrived like 4 hours ago, but unfortunately no one in the airport from Air Canada can be bothered to check so I’m celebrating new year without any clothes and 5% on my phone.  Terrible company with terrible customer service.",1st January 2022,Solo Leisure,Economy Class,Prince George to Vancouver,December 2021,3,1,0,0,1,0,1,"['Prince George', 'Vancouver']",2,6.0,4,1.5,-1.0,-0.1305194805194805,"['canceled', 'min', 'boarding', 'started', 'rebooking', 'basically', 'call', 'number', 'try', 'rebook', 'busy', 'week', 'manage', 'day', 'return', 'trip', 'forgot', 'baggage', 'baggage', 'arrived', 'like', 'hours', 'ago', 'unfortunately', 'airport', 'bothered', 'check', 'celebrating', 'new', 'year', 'clothes', 'phone', 'terrible', 'company', 'terrible', 'customer', 'service']","['terrible', 'customer', 'service']",neg
one had no pilot and the other no fuel,John Smithers,NotVerified,"  Pilot showed up 20 minutes late to an already delayed flight. Crew provides drink and meal service and disappears, never to be seen again until the end of the flight. As if these aren’t bad enough, after boarding my connecting flight (also delayed - by over an hour) we are notified via PA that the plane isn’t fuelled. Reflecting on my flights this day, one had no pilot and the other no fuel. I don’t have to explain how unprofessional and frankly pathetic this service is. The problem is we Canadians don’t have any other choice for an airline, so we pay a premium for inferior planes, services, and routes. In the future my family will fly US airlines to avoid this headache. ",28th December 2021,Family Leisure,Economy Class,Calgary to Toronto,December 2021,3,3,2,0,1,0,1,"['Calgary', 'Toronto']",2,10.0,5,2.0,-0.125,-0.18125,"['pilot', 'showed', 'minutes', 'late', 'already', 'delayed', 'crew', 'provides', 'drink', 'meal', 'service', 'disappears', 'never', 'seen', 'end', 'bad', 'enough', 'boarding', 'connecting', 'delayed', 'hour', 'notified', 'via', 'pa', 'plane', 'fuelled', 'reflecting', 'day', 'pilot', 'fuel', 'explain', 'unprofessional', 'frankly', 'pathetic', 'service', 'problem', 'canadians', 'choice', 'airline', 'pay', 'premium', 'inferior', 'planes', 'services', 'routes', 'future', 'family', 'fly', 'airlines', 'avoid', 'headache']","['pilot', 'fuel']",neg
Don’t use this airline - terribly inconsiderate,Camille Poulin,TripVerified," Absolutely awful experience! First, they cancel our flight and book us on a flight leaving 2 hours later. Then, they make us sit on the plane waiting for multiple hours, telling us every 35 minutes that we have to wait another 35 minutes because a few people were late! Had to cancel my plans. Don’t use this airline - terribly inconsiderate.",23rd December 2021,Family Leisure,Economy Class,Fort Lauderdale to Montréal,December 2021,4,4,2,4,1,1,1,"['Fort Lauderdale', 'Montréal']",2,17.0,7,2.4285714285714284,-1.0,-0.3321428571428572,"['absolutely', 'awful', 'experience', 'first', 'cancel', 'book', 'leaving', 'hours', 'later', 'make', 'sit', 'plane', 'waiting', 'multiple', 'hours', 'telling', 'every', 'minutes', 'wait', 'another', 'minutes', 'people', 'late', 'cancel', 'plans', 'use', 'airline', 'terribly', 'inconsiderate']","['use', 'airline', 'terribly', 'inconsiderate']",neg
Save yourselves the headache,C Baiyam,TripVerified,"  Worst flight experience of my life. I had to switch my flight to a connecting flight which was delayed. The airline automatically rebooked my connecting flight because they were unable to transfer my bags in time, even though we made it to our gate with an hour to spare. Resulted in unnecessary travel costs of more than $200 because the new flight landed after the rental kiosk closed. Had to drive over an hour out of the city via Uber then taxi back to the airport. Ended up traveling for 10 hours more than I needed to. Do yourself a huge favor and avoid this airline at all costs. Oh, and not to mention COVID restrictions make it much much worse. Save yourselves the headache friends and look elsewhere!",22nd December 2021,Solo Leisure,Economy Class,Los Angeles to Montreal,October 2021,1,1,0,0,1,0,1,['Los Angeles'],1,4.0,4,1.0,0.0,-0.09636363636363636,"['worst', 'experience', 'life', 'switch', 'connecting', 'delayed', 'airline', 'automatically', 'rebooked', 'connecting', 'unable', 'transfer', 'bags', 'time', 'though', 'gate', 'hour', 'spare', 'resulted', 'unnecessary', 'travel', 'costs', 'new', 'landed', 'rental', 'kiosk', 'closed', 'drive', 'hour', 'city', 'via', 'uber', 'taxi', 'back', 'airport', 'ended', 'traveling', 'hours', 'needed', 'huge', 'favor', 'avoid', 'airline', 'costs', 'oh', 'mention', 'covid', 'restrictions', 'make', 'much', 'much', 'worse', 'save', 'headache', 'friends', 'look', 'elsewhere']","['save', 'headache']",neg
